;input;path;Lev;generated
3852;mouse 12 1;О Ф Ц Г Я М И К А Д С Ш Р;10; О Ф Х А К И М Я Г Т
3853;mouse 12 2;О Ф Ц Г Ц Х А К И М Я Г Ц Х А Х Ф О Ы О Ф Ц Г Я Э Ж Т;18; О Ф Х А Х Ц Г Я Э Т
3854;mouse 12 3;О Ф Ц Г Ц Х А Х Ф И К А Х Ц Г Я Э Ж Щ У З Ц Х А К Л Е Р;19; О Ф Х А Х Ц Г Я Э Т
3855;mouse 12 4;О Ф Ц Г Ц Х А Х Ф Ц Г Ц Х А Х Ф О Ы О И Л Е Р;16; О Ф Х А Х Ц Г Я Э Т
3856;mouse 12 5;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3857;mouse 12 6;О Ф Ц Г Ц Х А Х Ц Х Ф И Л Е Р;9; О Ф Х А Х Ц Г Я М Т
3858;mouse 12 7;О Ф Ц Г Ц Х А К И М Э Ж Т;9; О Ф Х А Х Ц Г Я М Т
3859;mouse 12 8;О Ф Ц Г Ц Х А Х Ф О Ы О И Л Е Р;11; О Ф Х А Х Ц Г Я М Т
3860;mouse 12 9;О Ф Ц Г Ц Х А Х Ф И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3861;mouse 12 10;О Ф Ц Г Ц Х А Х Ф И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3862;mouse 12 11;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3863;mouse 12 12;О Ф Ц Г Ц Х А Х Ф М Э Ж Т;8; О Ф Х А Х Ц Г Я М Т
3864;mouse 12 13;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3865;mouse 12 14;О Ф Ц Г Ц Х А Х Ф Ц Г Я Э Ж Т;7; О Ф Х А Х Ц Г Я М Т
3866;mouse 12 15;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3867;mouse 12 16;О Ф Ц Г Ц Х А Х Ф И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3868;mouse 12 17;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3869;mouse 12 18;О Ф Ц Г Ц Х А Х Ф М Э Ж Т;8; О Ф Х А Х Ц Г Я Э Т
3870;mouse 12 19;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3871;mouse 12 20;О Ф Ц Г Ц Х А Х Ц Г Я М И К Д С Ш Р;10; О Ф Х А Х Ц Г Я Э Т
3872;mouse 12 21;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3873;mouse 12 22;О Ф И Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
3874;mouse 12 23;О Ф Ц Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3875;mouse 12 24;О Ф Ц Г Ц Х А Х Ф И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3876;mouse 12 25;О Ф Ц Г Ц Х А Х Ц Г Ц Х А Х Ф И Л Е Р;12; О Ф Х А Х Ц Г Я Э Т
3877;mouse 12 26;О Ф Ц Г Ц Х А Х Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
3878;mouse 12 27;О Ф И Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
3879;mouse 12 28;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3880;mouse 12 29;О Ф Ц Г Ц Х А К И М Э Ж Т;9; О Ф Х А Х Ц Г Я Э Т
3881;mouse 12 30;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3882;mouse 12 31;О Ф Ц Г Ц Х А Х Ф И К А Д А Х Ф И Л Е Р;15; О Ф Х А Х Ц Г Я Э Т
3883;mouse 12 32;О Ф Ц Г Я Э Ж Щ У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
3884;mouse 13 1;О Ф Ц Г Я М И К А Х Ц Г Ц Х А К Л Е Р;15; О Ф Х А К И М Я Г Т
3885;mouse 13 2;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
3886;mouse 13 3;О Ф Ц Г Ц Х А К И М Э Ж Т;9; О Ф Х А Х Ц Г Я Э Т
3887;mouse 13 4;О Ф Ц Г Ц Х А Х Ф И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3888;mouse 13 5;О Ф Ц Г З У Щ Т Щ У З Г Ц Х А Х Ц Г Ц Х А Х Ф М Э Ж Т;19; О Ф Х А Х Ц Г Я М Т
3889;mouse 13 6;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3890;mouse 13 7;О Ф Ц Г Ц Х А Х Ф Ц Г Ц Х А Д С Ш Р;11; О Ф Х А Х Ц Г Я М Т
3891;mouse 13 8;О Ф М Я Г Ц Я Э Ж Т Щ У З Г Я М И К А Х А К Л Е Р;19; О Ф Х А Х Ц Г Я М Т
3892;mouse 13 9;О Ф И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
3893;mouse 13 10;О Ф М Я Г Ц Г Я Э Ж Т;6; О Ф Х А Х Ц Г Я М Т
3894;mouse 13 11;О И К А Х Ц Г Ц Х А К И М Э Ж Т;10; О Ф Х А Х Ц Г Я М Т
3895;mouse 13 12;О Ф Х А К И М Я Г Ц Х А К И М О Ы О И Л Е Р;16; О Ф Х А Х Ц Г Я М Т
3896;mouse 13 13;О Ф Ц Г Ц Х А Х А К Х Ц Г Я Э Ж Т;9; О Ф Х А Х Ц Г Я М Т
3897;mouse 13 14;О Ф Ц Г Ц Х А Д С Ш Р;8; О Ф Х А Х Ц Г Я М Т
3898;mouse 13 15;О Ф Ц Г Ц Х А Х Ц Г Ц Х А К И М Э Ж Т;11; О Ф Х А Х Ц Г Я Э Т
3899;mouse 13 16;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3900;mouse 13 17;О Ф Ц Г Ц Х А Х Ц Г Ц Х А Х Ф И Л Е Р;12; О Ф Х А Х Ц Г Я М Т
3901;mouse 13 18;В О З Д Е С Т В И Е Р У К О Ф Ц Г Ц Ф М Э Ж Щ У З Г Ц Х А Х Ф М Э Ж Т Щ У З Г Ц Х А К И М Э В Ж Т;42; О Ф Х А Х Ц Г Я М Т
3902;mouse 13 19;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3903;mouse 13 20;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3904;mouse 13 21;О Ф Ц Г Ц Х А К Х Ц Г Я Э В Ж Т;7; О Ф Х А Х Ц Г Я Э Т
3905;mouse 13 22;О Ф Ц Г Ц Х А Х Ф И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3906;mouse 13 23;О Ф Ц Г Ц Х А Х Ф И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3907;mouse 13 24;О Ф Ц Г Ц Х А К Х Ц Г Я Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
3908;mouse 13 25;О Ф Ц Ф Х А К А Х Ц Ф И Л Е Р;9; О Ф Х А Х Ц Г Я Э Т
3909;mouse 13 26;О Ф Ц Х А Х Ф М Я Г Я З У З Г Я М И К Л Е Ш С Д С Ш Р;20; О Ф Х А Х Ц Г Я Э Т
3910;mouse 13 27;О Ф Ц Х А Х Ф И Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
3911;mouse 13 28;О Ф Ц Г Ц Х А Х Ц Г Я Э Я Ц Х А Х Ф И Л Е Р;13; О Ф Х А Х Ц Г Я Э Т
3912;mouse 13 29;О Ф Х А Х Ц Г Ц Х А К И М Я Г Я Э Ж Т;10; О Ф Х А Х Ц Г Я Э Т
3913;mouse 13 30;О Ф Ц Г Ц Х А Х Ф М Э Ж Т;8; О Ф Х А Х Ц Г Я Э Т
3914;mouse 13 31;О Ф Ц Г Ц Х А Д С Ш Р;8; О Ф Х А Х Ц Г Я Э Т
3915;mouse 13 32;О Ф Ц Г Ц Х А Х Ф О Ы О Ф Ц Г Ц Х А К Л Е Р;15; О Ф Х А Х Ц Г Я Э Т
3916;mouse 14 1;О Ф Ц Г Я М И К А Х Ц Г Ц Х А Д С Ш Р;15; О Ф Х А К И М Я Г Т
3917;mouse 14 2;О Ф Х А К И М Э Ж Т Щ У З Г Я Э Ж Т;11; О Ф Х А Х Ц Г Я Э Т
3918;mouse 14 3;О Ф Ц Г Ц Х А К Л Е Р Ш С Д К Л Е Р;14; О Ф Х А Х Ц Г Я Э Т
3919;mouse 14 4;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3920;mouse 14 5;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3921;mouse 14 6;О Ф Ц Г Ц Х А К И Ф Х А Х Ф Х Ф О Ы О И Л Е Р;18; О Ф Х А Х Ц Г Я Э Т
3922;mouse 14 7;О Ф Ц Г Я Э В Э Я Г З У Щ Т Ж Щ У Щ Ж Э М И Л Е Р;21; О Ф Х А Х Ц Г Я Э Т
3923;mouse 14 8;О Ф Ц Г Ц Ф И К А Х Ф И Л Е Р;11; О Ф Х А Х Ц Г Я М Т
3924;mouse 14 9;О Ф Ц Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3925;mouse 14 10;О Ф Ц Ф М Э Ж Т;7; О Ф Х А Х Ц Г Я Э Т
3926;mouse 14 11;О И К А Х Ф И Л Е Р Ш С Д С Ш Р;13; О Ф Х А Х Ц Г Я Э Т
3927;mouse 14 12;О Ф Ц Г Ц Х А Х Ф И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
3928;mouse 14 13;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
3929;mouse 14 14;О Ф Ц Г Я Э В Ж Т;6; О Ф Х А Х Ц Г Я Э Т
3930;mouse 14 15;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
3931;mouse 14 16;О Ф Ц Я Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
3932;mouse 14 18;О Ф Х А К И М И Л И М Э Ж Т;9; О Ф Х А Х Ц Г Я Э Т
3933;mouse 14 19;О Ф Ц Г Я М И Л Е Р Ш С Д А К Л Е Р;16; О Ф Х А Х Ц Г Я Э Т
3934;mouse 14 20;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
3935;mouse 14 21;О Ф Х А Х Ф И Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
3936;mouse 14 22;О Ф Ц Г Я М И К А Х Ф И Л Е Р;11; О Ф Х А Х Ц Г Я Э Т
3937;mouse 14 23;О Ф Ц Г Ц Х А К И М Э В Ж Т;10; О Ф Х А Х Ц Г Я Э Т
3938;mouse 14 24;О Ф Ц Г Ц Ф Х К И Л Е Р;9; О Ф Х А Х Ц Г Я Э Т
3939;mouse 14 25;О Ф Х А К Д С Ш Р;5; О Ф Х А Х Ц Г Я Э Т
3940;mouse 14 26;О Ф Ц Г З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
3941;mouse 14 27;О Ф И К А К Х Ф И К Х Ф И Л Е Р;12; О Ф Х А Х Ц Г Я Э Т
3942;mouse 14 28;О Ф Ц З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
3943;mouse 14 29;О Ф Х А Х Ф И М Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
3944;mouse 14 30;О Ф Ц Г Ц Ф Х А К Л К Д С Ш Р;11; О Ф Х А Х Ц Г Я Э Т
3945;mouse 14 31;О Ф Ц Г Я Э Ж Т Щ У З Ц Х А К И М И Л Е Ш Р;18; О Ф Х А Х Ц Г Я Э Т
3946;mouse 15 1;О Ф Ц Г З У Щ Т;7; О Ф Х А К И М Я Г Т
3947;mouse 15 2;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я Э Т
3948;mouse 15 3;О Ф Ц Г Ц Х Ф О Ы О И Л Е Р;11; О Ф Х А Х Ц Г Я Э Т
3949;mouse 15 4;О Ф Ц З У Щ Т Щ У З Ц Х А К И М Э Ж Т;15; О Ф Х А Х Ц Г Я Э Т
3950;mouse 15 5;О Ф Х А Х Ф И Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
3951;mouse 15 6;О Ф Ц Г Ц Х Д С Ш Р;7; О Ф Х А Х Ц Г Я Э Т
3952;mouse 15 7;О Ф Ц Ф М Э Ж Т;7; О Ф Х А Х Ц Г Я Э Т
3953;mouse 15 8;О Ф Х А К А Д С Ш Р;6; О Ф Х А Х Ц Г Я Э Т
3954;mouse 15 9;О Ф Х А Х Ф О Ы О И Л Е Р Ш С Д С Ш Р;14; О Ф Х А Х Ц Г Я Э Т
3955;mouse 15 10;О Ф Ц Г З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
3956;mouse 17 15;О Ф Х К Л Е Ш С Д С Ш Р;9; О Ф Х А Х Ц Г Я Э Т
3957;mouse 15 11;О Ф Ц Х А К И М Я Г Я Э Ж Щ У Щ У Щ Т Ж Э М И Л Е Р;19; О Ф Х А Х Ц Г Я Э Т
3958;mouse 15 12;О Ф Ц Г Я М И К А К И М Я М И К А Х Ц Ф И Л Е Р;19; О Ф Х А Х Ц Г Я Э Т
3959;mouse 15 13;О Ф Х К Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
3960;mouse 15 14;О Ф Х Ф И Л Е Р Ш С Д С Ш Р;11; О Ф Х А Х Ц Г Я Э Т
3961;mouse 15 15;О Ф Х А К И М Э Ж Щ У З Ц Ф М Э Ж Т;12; О Ф Х А Х Ц Г Я Э Т
3962;mouse 15 16;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
3963;mouse 15 17;О Ф Ц Ф И Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
3964;mouse 15 18;О Ф Х К Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
3965;mouse 15 19;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
3966;mouse 15 20;О Ф Х К А К И Ф Х Ц Ф М Я Э Ж Т;8; О Ф Х А Х Ц Г Я Э Т
3967;mouse 15 21;О Ф Х К Л Е Ш С Д С Ш Р;9; О Ф Х А Х Ц Г Я Э Т
3968;mouse 15 22;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
3969;mouse 15 23;О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3970;mouse 15 24;О Ф Ц Г Ц Х А Д С Ш Р;8; О Ф Х А Х Ц Г Я Э Т
3971;mouse 16 1;О Ф Ц Г З У Щ Т;3; О Ф Ц Г Я Э Ж Т Т
3972;mouse 16 2;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я Э Т
3973;mouse 16 3;О Ф Х К Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
3974;mouse 16 4;О Ф Х Ф М Э Ж Щ У З Ц Х А Д С Ш Р;13; О Ф Х А Х Ц Г Я Э Т
3975;mouse 16 5;О Ф И Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
3976;mouse 16 6;О И К Х Ф И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3977;mouse 16 7;О Ф Ц Г З У Щ Т Щ У Щ Т;10; О Ф Х А Х Ц Г Я Э Т
3978;mouse 16 8;О Ф Ц Г Ц Ф М Я Г Я Э Ж Т;8; О Ф Х А Х Ц Г Я Э Т
3979;mouse 16 9;О И Л Е Р Ш С Д А К И М О Ы О И Л Е Р;17; О Ф Х А Х Ц Г Я М Т
3980;mouse 16 10;О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3981;mouse 16 11;О Ф Ц Х А Д С Ш Р;6; О Ф Х А Х Ц Г Я Э Т
3982;mouse 16 12;О Ф Х Ф М Э М И К А Х Ф И Л Е Р;11; О Ф Х А Х Ц Г Я М Т
3983;mouse 16 13;О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3984;mouse 16 14;О Ф Ц Г Я Э Ж Т Ж В Ж Т;9; О Ф Х А Х Ц Г Я Э Т
3985;mouse 16 15;О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3986;mouse 16 16;О И Ф Х Ц Ф М Я Г Я М О Ы О И Л Е Р;13; О Ф Х А Х Ц Г Я Э Т
3987;mouse 16 17;О Ф Ц Х Ф И Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
3988;mouse 16 18;О Ф Ц Ф О Ы О И К А Д С Ш Р;12; О Ф Х А Х Ц Г Я Э Т
3989;mouse 16 19;О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3990;mouse 16 20;О И К И М Э Ж Т;8; О Ф Х А Х Ц Г Я Э Т
3991;mouse 16 21;О Ф Ц Г Я Э Ж Щ У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
3992;mouse 16 22;О Ф Х А Х Ф М Я Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Ц Х Т
3993;mouse 17 1;О Ф Ц Г З У Щ Т;3; О Ф Ц Г Я Э Ж Т Т
3994;mouse 17 2;О Ф Х А К И М Я Г З У Щ Т;4; О Ф Х А К И М Я Г Т
3995;mouse 17 3;О И К А Д С Ш Е Л И Л Е Р;11; О Ф Х А Х Ц Г Я Э Т
3996;mouse 17 4;О Ф Х Ф О Ы О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
3997;mouse 17 5;О Ы О Ф Х Д С Ш Р;7; О Ф Х А Х Ц Г Я Э Т
3998;mouse 17 6;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
3999;mouse 17 7;О Ф Ц Х К Л К А Д А Х Ф И Л Е Р Ш С Д С Ш Р;17; О Ф Х А Х Ц Г Я Э Т
4000;mouse 17 8;О Ф Х К Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
4001;mouse 17 9;О Ф Х Д С Ш Р;6; О Ф Х А Х Ц Г Я Э Т
4002;mouse 17 10;О Ф Х Д С Ш Р;6; О Ф Х А Х Ц Г Я Э Т
4003;mouse 17 11;О Ф Ц З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
4004;mouse 17 12;О Ф Х К И М Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
4005;mouse 17 13;О Ф Х К Л Б Е Р Ш С Д А Х К И К Л Е Ш С Д С Ш Р;19; О Ф Х А Х Ц Г Я М Т
4006;mouse 17 14;О Ф Ц Г Я М И Л И М Я Г З У Щ Т;13; О Ф Х А Х Ц Г Я Э Т
4007;mouse 18 1;О Ф Ц Г Я Э Ж Т;0; О Ф Ц Г Я Э Ж Т Т
4008;mouse 18 2;О Ф Х Д С Ш Р;4; О Ф Х А К Л Е Р Т
4009;mouse 18 3;О Ф Х А Х Ф О Ы О И Л Е Р;8; О Ф Х А К И М Я Г Т
4010;mouse 18 4;О Ф Ц Г З У Щ Т Щ У З Ц Х А К Л Е Р;14; О Ф Х А К И М Я Г Т
4011;mouse 18 5;О Ф Х А Х Ф Ц Г Я Э В Ж Т;5; О Ф Х А Х Ц Г Я М Т
4012;mouse 18 6;О Ф Ц Ф И Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
4013;mouse 18 7;О Ф Ц Ф И К А К Л Е Р;9; О Ф Х А Х Ц Г Я Э Т
4014;mouse 18 8;О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4015;mouse 18 9;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
4016;mouse 18 10;О Ф Ц Г Я Г З У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
4017;mouse 18 11;О Ф Х Ф И Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
4018;mouse 18 12;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
4019;mouse 18 13;О Ф Х А Х Ц Г Я Э Ж Т;2; О Ф Х А Х Ц Г Я Э Т
4020;mouse 18 14;О Ф Ц Ф И К А К Л И М Э Ж Т;10; О Ф Х А Х Ц Г Я Э Т
4021;mouse 18 15;О Ф Х Ф И К Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
4022;mouse 18 16;О Ф Ц Г Ц Ф М Э Ж Т;7; О Ф Х А Х Ц Г Я Э Т
4023;mouse 19 1;О Ф Ц Я М И К Х Ф М Э Ж Т;7; О Ф Ц Г Я Э Ж Т Т
4024;mouse 19 2;О Ф Х К Л Е Р;5; О Ф Х А К И М Я Г Т
4025;mouse 19 3;О Ф Х А К Л К Д С Ш Р;6; О Ф Х А К И М Я Г Т
4026;mouse 19 4;О Ф Ц Г З У Щ Т Щ У З Г Ц Х К Л И М Я Э В Ж Т;18; О Ф Х А Х Ц Г Я Э Т
4027;mouse 19 5;О Ф Ц Я М И М Я Г З У З Ц Х К И М Э Ж Т;16; О Ф Х А Х Ц Г Я М Т
4028;mouse 19 6;О Ф Х А Х Ф О Ы О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4029;mouse 19 7;О Ф Ц Г Ц Ф М Я Э Ж Т Щ У З Я Э Ж Т;14; О Ф Х А Х Ц Г Я Э Т
4030;mouse 19 8;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
4031;mouse 19 9;О Ф Ц Х Ф О Ы О Ф Х К И М И Л Е Р;13; О Ф Х А Х Ц Г Я М Т
4032;mouse 19 10;О Ф Х А Х Ф О М Я Ц Х К И М Э Ж Т;10; О Ф Х А Х Ц Г Я Э Т
4033;mouse 19 11;О Ф Ц Ф И Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
4034;mouse 19 12;О Ф Х А К И М Я Г Я Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
4035;mouse 19 13;О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4036;mouse 19 14;О Ф Х А Х Ф О Ы О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4037;mouse 19 15;О Ф Х К Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
4038;mouse 19 16;О Ф Х К Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
4039;mouse 19 17;О Ф Ц Г Я Э Ж Щ У Щ Т Ж Э М И Л Е Р;15; О Ф Х А Х Ц Г Я Э Т
4040;mouse 20 1;О Ф Ц Г Я Э М И К А Х Д С Ш Р;9; О Ф Ц Г Я Э Ж Т Т
4041;mouse 20 2;О Ф Х К Л К А К Л Е Р;7; О Ф Х А К И М Я Г Т
4042;mouse 20 3;О Ф М Э Ж Т;7; О Ф Х А К И М Я Г Т
4043;mouse 20 4;О Ф Ц Г Я Г З У Щ Т Щ У З Ц Х А Х Ц Я Э Ж Т;16; О Ф Х А Х Ц Г Я М Т
4044;mouse 20 5;О Ф Х К И М И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
4045;mouse 20 6;О Ф Х К Л Е Р;6; О Ф Х А Х Ц Г Я М Т
4046;mouse 20 7;О Ф Х К И М Э В Э М Я Г Ц Х Ф О Ы О И Л Е Р;18; О Ф Х А Х Ц Г Я Э Т
4047;mouse 20 8;О Ф Ц Х К И М Э Ж Т;7; О Ф Х А Х Ц Г Я М Т
4048;mouse 20 9;О Ф Х К Л Е Р;6; О Ф Х А Х Ц Г Я М Т
4049;mouse 20 10;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
4050;mouse 20 11;О Ф Х К И Л Е Ш С Д С Ш Р;10; О Ф Х А Х Ц Г Я Э Т
4051;mouse 20 12;О Ф Х К Л Е Ш Р;6; О Ф Х А Х Ц Г Я М Т
4052;mouse 20 13;О Ф Х К И М Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
4053;mouse 20 14;О Ф Ц З У З Ц Ф И Л Е Р;9; О Ф Х А Х Ц Г Я Э Т
4054;mouse 20 15;О Ф Ц Х Ц Х К Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
4055;mouse 20 16;О Ф Х К И М Я Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
4056;mouse 20 17;О Ф Х К Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
4057;mouse 21 1;О Ф Х А К Л Е Р;6; О Ф Ц Г Я Э Ж Т Т
4058;mouse 21 2;О Ф Ц Г З У Щ Т Щ У Щ У З Ц Х Д С Ш Р Ш С Д С Ш Р;19; О Ф Ц Г Ц Х А К Л Т
4059;mouse 21 3;О Ф Ц Я Э М Э М Я Г Я М И К А Х Ф Ц Я Э Ж Т Щ У Щ Т;20; О Ф Х А Х Ц Г Я Э Т
4060;mouse 21 4;О Ф Х К Л И М Э М О Ы О Ф Ц Г Я М Я М И Л Е Р;19; О Ф Ц Г Ц Х А Х Ц Т
4061;mouse 21 5;О Ф Х К И М Я Э Я Э Ж Т;7; О Ф Х А Х Ц Г Я Э Т
4062;mouse 21 6;О Ф Х Д С Ш Р;6; О Ф Х А Х Ц Г Я Э Т
4063;mouse 22 1;О Ф Ц Г З У Щ Т;3; О Ф Ц Г Я Э Ж Т Т
4064;mouse 22 2;О Ф Х А Д С Ш Р;7; О Ф Ц Г Ц Х А К И Т
4065;mouse 22 3;О Ф Х А Х Ф Ц Г З У Щ Ж Э М О Ы О И Л Е Р;17; О Ф Ц Г Ц Х А Х Ц Т
4066;mouse 22 4;О Ф Ц Г З У Щ Т Щ У З Ц Х А Д С Ш Р;15; О Ф Х А Х Ц Г Я М Т
4067;mouse 22 5;О Ф Х А Х Ц Ф И Л К Л Е Р;7; О Ф Х А Х Ц Г Я М Т
4068;mouse 22 6;О Ф Ц Г Я М Я Э Ж Т;7; О Ф Х А Х Ц Г Я М Т
4069;mouse 22 7;О Ф Х А К Л И О Ы О И Л Е Р;10; О Ф Х А Х Ц Г Я М Т
4070;mouse 22 8;О Ф Х Ф М Э Я Г Я Э М И Л Е Р;11; О Ф Х А Х Ц Г Ц Х Т
4071;mouse 22 9;О Ф Ц Г Ц Х А К И М Я Г Ц Х А К И М Я Г Ц Х А Х К Л И М Я Г Ц Х А К И М Э Ж Щ У З Г З У Щ Т;38; О Ф Х А Х Ц Г Я М Т
4072;mouse 22 10;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Ц Х Т
4073;mouse 22 11;О Ф Ц Г Ц Х А Х Ф И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4074;mouse 22 12;О Ф Х А Х Ц Г Ц Х А Д С Ш Р;5; О Ф Х А Х Ц Г Ц Х Т
4075;mouse 22 13;О Ф Ц Г Ц Х А Х Ц Г Ц Ф И К А Х А Х Ф О Ы О И Л Е Р;17; О Ф Х А Х Ц Г Ц Х Т
4076;mouse 22 14;О Ф Ц Г Я М И К А Д С Ш Р;11; О Ф Х А Х Ц Г Ц Х Т
4077;mouse 22 15;О Ф Ц Г Ц Х А К И М Я Г Ц Х А Х Ф Ц Г Ц Х А К И М Э Ж Т;19; О Ф Х А Х Ц Г Ц Х Т
4078;mouse 22 16;О Ф Ц Г Ц Х А Х Ф И Л Е Р;8; О Ф Х А Х Ц Г Ц Х Т
4079;mouse 22 17;О Ф Х А Х Ц Г Ц Х А Х Ф М Я Г З У Щ Т;10; О Ф Х А Х Ц Г Ц Х Т
4080;mouse 22 18;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4081;mouse 1 1;О Ф Х А Х Ф О Ы О М Э Ж Щ У З Ц Х К Д С Ш Р Е Л К А Х Ц Г Я Э Ж Щ У Щ Ж Э М И Л Е Л К А Х Ц Г Ц Х Д С Ш Р;45; О Ф Х А К Л Е Р Ш Т
